"Summary","Description","Test Type","Priority","Labels","Component","Assignee","Comment"
"Portal carga correctamente y URL es valida","REQ: REQ-BUPA-001
ID: REQ-001-FP-01
Pre-condicion: Ninguna — no requiere autenticacion

Resultado esperado:
Body visible + URL contiene portalpaciente.bupa.cl
PASS si: body visible y URL = portalpaciente.bupa.cl
FAIL si: body no visible o URL incorrecta
(Criterio A — UI + Frontend)

Categoria: UI + Frontend","Manual","High","FP","UI + Frontend","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Portal carga en menos de 3 segundos","REQ: REQ-BUPA-001
ID: REQ-001-FP-02
Pre-condicion: Ninguna — acceso al portal desde navegador

Resultado esperado:
Tiempo de carga menor a 3000ms desde navegacion hasta body visible
PASS si: tiempo < 3000ms
FAIL si: tiempo >= 3000ms (registrar ms reales)
(Criterio B — UX)

Categoria: UX","Manual","High","FP","UX","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Portal utiliza HTTPS con certificado SSL valido","REQ: REQ-BUPA-001
ID: REQ-001-FP-03
Pre-condicion: Ninguna — acceso directo al portal

Resultado esperado:
Protocolo es https: con certificado SSL valido y no expirado
PASS si: URL inicia con https: y SSL valido
FAIL si: protocolo es http: o SSL invalido/expirado
(Criterio C — Backend / Seguridad)

Categoria: Backend / Seguridad","Manual","High","FP","Backend / Seguridad","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Servidor caido genera error de conexion","REQ: REQ-BUPA-001
ID: REQ-001-EC-01
Pre-condicion: Ambiente DEV/UAT con servidor inaccesible (requiere DevOps)

Resultado esperado:
Cypress lanza error de conexion — test falla con timeout
PASS si: test detecta el fallo y lo reporta correctamente
FAIL si: test pasa sin detectar la caida del servidor

Categoria: Backend","Manual","High","EC","Backend","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Carga lenta superior a 3 segundos es detectada","REQ: REQ-BUPA-001
ID: REQ-001-EC-02
Pre-condicion: Ambiente DEV con throttling de red (Slow 3G en DevTools)

Resultado esperado:
AssertionError de tiempo — test falla con ms reales registrados
PASS si: test detecta el tiempo excedido y registra los ms
FAIL si: test no detecta la carga lenta

Categoria: UX","Manual","High","EC","UX","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Dominio incorrecto es detectado tras redirect","REQ: REQ-BUPA-001
ID: REQ-001-EC-03
Pre-condicion: Ambiente DEV con redirect configurado a dominio externo

Resultado esperado:
URL no contiene portalpaciente.bupa.cl — test falla
PASS si: test detecta dominio incorrecto post-redirect
FAIL si: test no verifica la URL activa

Categoria: Frontend","Manual","Medium","EC","Frontend","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Protocolo HTTP sin cifrado es detectado (seguridad)","REQ: REQ-BUPA-001
ID: REQ-001-EC-04
Pre-condicion: Ninguna — acceso directo por http:// (sin S)

Resultado esperado:
Protocolo retorna http: — test falla por seguridad
PASS si: servidor redirige automaticamente a https:
FAIL si: responde por HTTP sin redirect — severidad CRITICA

Categoria: Backend / Seguridad","Manual","High","EC","Backend / Seguridad","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Menu de navegacion no visible tras bootstrap Angular","REQ: REQ-BUPA-001
ID: REQ-001-EC-05
Pre-condicion: Ambiente con error simulado en renderizado de componente Angular

Resultado esperado:
Elemento de menu no renderizado — test falla
PASS si: test detecta la ausencia del menu
FAIL si: test pasa sin verificar visibilidad del menu

Categoria: UI","Manual","Medium","EC","UI","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Scroll horizontal detectado en mobile 375px","REQ: REQ-BUPA-001
ID: REQ-001-EC-06
Pre-condicion: Viewport configurado a 375x812 (iPhone) con overflow horizontal

Resultado esperado:
Overflow horizontal detectado — test falla
PASS si: test detecta overflow en viewport mobile
FAIL si: test no verifica el comportamiento responsive

Categoria: UX + Frontend","Manual","Medium","EC","UX + Frontend","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Violaciones criticas WCAG detectadas por axe","REQ: REQ-BUPA-001
ID: REQ-001-EC-07
Pre-condicion: cypress-axe instalado y pagina cargada correctamente

Resultado esperado:
cypress-axe reporta violaciones criticas WCAG 2.1 — test falla
PASS si: test detecta y reporta cada violacion con elemento afectado
FAIL si: axe no se ejecuta o falla silenciosamente

Categoria: UX (Accesibilidad)","Manual","High","EC","UX (Accesibilidad)","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Core Web Vitals LCP o CLS fuera del umbral","REQ: REQ-BUPA-001
ID: REQ-001-EC-08
Pre-condicion: Lighthouse configurado en el ambiente de prueba

Resultado esperado:
Core Web Vitals fuera de umbral — test falla (LCP/CLS registrados)
PASS si: LCP < 2.5s y CLS < 0.1
FAIL si: LCP >= 2.5s o CLS >= 0.1

Categoria: UX (Core Web Vitals)","Manual","Medium","EC","UX (Core Web Vitals)","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
"Health check /api/health no responde HTTP 200","REQ: REQ-BUPA-001
ID: REQ-001-EC-09
Pre-condicion: Endpoint /api/health disponible en el servidor

Resultado esperado:
Endpoint retorna error o timeout — test falla
PASS si: endpoint responde HTTP 200 en menos de 1000ms
FAIL si: responde con error 4xx/5xx o no responde

Categoria: Backend","Manual","Medium","EC","Backend","Jaime Quinelen Villar","Generado desde REQ-001-SDD.md — v1.0"
